,Year,Player,Pos,Age,G,PER,MPG,PPG,APG,RPG,TOPG,BPG,SPG,salary17_18
109,2017.0,Goran Dragic,PG,30.0,73.0,19.7,33.68493150684932,20.315068493150687,5.794520547945205,3.808219178082192,2.904109589041096,0.1780821917808219,1.2191780821917808,17.00045
110,2017.0,Andre Drummond,C,23.0,81.0,20.9,29.74074074074074,13.641975308641975,1.0987654320987654,13.777777777777779,1.876543209876543,1.0987654320987654,1.5308641975308641,23.775506
111,2017.0,Jared Dudley,PF,31.0,64.0,10.6,21.28125,6.78125,1.890625,3.515625,1.125,0.25,0.65625,10.0
112,2017.0,Mike Dunleavy,SF,36.0,53.0,10.1,15.867924528301886,5.188679245283019,0.9433962264150944,2.169811320754717,0.5283018867924528,0.1320754716981132,0.2830188679245283,1.6625
113,2017.0,Kris Dunn,PG,22.0,78.0,8.1,17.08974358974359,3.7564102564102564,2.41025641025641,2.128205128205128,1.141025641025641,0.46153846153846156,1.0,4.04676
114,2017.0,Kevin Durant,SF,28.0,62.0,27.6,33.38709677419355,25.080645161290324,4.838709677419355,8.274193548387096,2.225806451612903,1.596774193548387,1.064516129032258,25.0
115,2017.0,Jarell Eddie,SF,25.0,5.0,9.7,12.4,4.8,0.0,1.4,0.2,0.0,0.2,0.083129
116,2017.0,Jarell Eddie,SF,25.0,5.0,9.7,12.4,4.8,0.0,1.4,0.2,0.0,0.2,0.083129
117,2017.0,Jarell Eddie,SF,25.0,5.0,9.7,12.4,4.8,0.0,1.4,0.2,0.0,0.2,0.017224
118,2017.0,Henry Ellenson,PF,20.0,19.0,7.5,7.684210526315789,3.1578947368421053,0.3684210526315789,2.1578947368421053,0.7368421052631579,0.05263157894736842,0.05263157894736842,1.7808
119,2017.0,Wayne Ellington,SG,29.0,62.0,12.6,24.193548387096776,10.451612903225806,1.1290322580645162,2.1451612903225805,0.4838709677419355,0.06451612903225806,0.5645161290322581,6.27
120,2017.0,Monta Ellis,SG,31.0,74.0,10.0,27.0,8.513513513513514,3.189189189189189,2.7567567567567566,1.8243243243243243,0.36486486486486486,1.0675675675675675,2.2454
121,2017.0,Joel Embiid,C,22.0,31.0,24.1,25.35483870967742,20.225806451612904,2.129032258064516,7.838709677419355,3.774193548387097,2.4516129032258065,0.8709677419354839,6.100266
122,2017.0,James Ennis,SF,26.0,64.0,10.6,23.453125,6.703125,1.0,4.046875,0.921875,0.296875,0.71875,3.02841
123,2017.0,Tyler Ennis,PG,22.0,53.0,11.0,11.09433962264151,4.30188679245283,1.6226415094339623,0.8679245283018868,0.8490566037735849,0.03773584905660377,0.49056603773584906,1.524305
124,2017.0,Tyreke Evans,SF,27.0,40.0,15.5,19.7,10.275,3.1,3.425,1.525,0.225,0.875,3.29
125,2017.0,Dante Exum,PG,21.0,66.0,8.6,18.606060606060606,6.242424242424242,1.696969696969697,2.0,1.2121212121212122,0.18181818181818182,0.3181818181818182,4.992385
126,2017.0,Kenneth Faried,PF,27.0,61.0,20.3,21.24590163934426,9.62295081967213,0.9016393442622951,7.557377049180328,0.9508196721311475,0.6557377049180327,0.7049180327868853,12.921348
127,2017.0,Jordan Farmar,PG,30.0,2.0,14.4,17.5,6.0,4.5,1.5,1.5,0.0,1.0,0.510921
